TIPO;Família;Sub-Família;Segmento;Modelo Padrão;Modelo Comercial;Ano Fabricação Inicial;Ano Fabricação Final;Nivel de Emissões Inicial;Nivel de Emissões Final;TECNOLOGIA MOTOR;Motor;Motor Popular;Quantidade de Cilindros;Quantidade Lubrificante Motor;Epecificação Lubrificante Motor;LINHA;SUB LINHA;CÓDIGO LUBRIFICANTE MOTOR;Capacidade Sistema Arrefecimento;Caixa de Direção;Caixa de Marcha;Quantidade Lubrificante Caixa de Marcha;Epecificação Lubrificante Caixa de Marcha;Diferencial;Quantidade Lubrificante Diferencial;Epecificação Lubrificante Diferencial;TRAÇÃO
CAMINHÃO;Worker;E;Leve;9-150;9.150 E;mai/10;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;8,6;15W40 CI-4;VW;SH;G052824Q2;;;FSO 4305C;5;SAE 80W90 GL-4;MS 13-113 HD;6,8;85W140 GL-5;4X2
CAMINHÃO;Worker;E;Médios;13-180;13.180 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 23-230;20;85W140 GL-5;4X2
CAMINHÃO;Worker;;Médios;13-180;13.180;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;16,4;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-230 / RS 19-145;20 / 15;85W140 GL-5;4X2
CAMINHÃO;Worker;E;Médios;13-180;13.180 E;ago/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-230 / RS 19-145;20 / 15;85W140 GL-5;4X2
CAMINHÃO;Worker;4X4;Semi-Pesados;15-180;15.180 4X4;dez/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CI-4;VW;SH;G052824Q2;;;FSB 6206A;9,6;SAE 50;RS 23-145;15;85W140 GL-5;4X4
CAMINHÃO;Worker;E;Semi-Pesados;15-180;15.180 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 23-230;20;85W140 GL-5;4X2
CAMINHÃO;Worker;;Semi-Pesados;15-180;15.180;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;16,4;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 23-145 / RS 23-230;15 / 20;85W140 GL-5;4X2
CAMINHÃO;Worker;E;Semi-Pesados;15-180;15.180 E;ago/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 23-145 / RS 23-230;15 / 20;85W140 GL-5;4X2
CAMINHÃO;Worker;4X4;Semi-Pesados;15-210;15.210 4x4;fev/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;18,7;15W40 CI-4;VW;SH;G052824Q2;;;FSB 6206A;9,6;SAE 50;RS 23-145;15;85W140 GL-5;4X4
CAMINHÃO;Worker;;Semi-Pesados;17-180;17.180;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;16,4;15W40 CI-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;4X2
CAMINHÃO;Worker;Distributor;Semi-Pesados;17-180;17.180 Distributor;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;;;FS 5306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;4X2
CAMINHÃO;Worker;;Semi-Pesados;17-220;17.220;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
CAMINHÃO;Worker;Tractor;Semi-Pesados;17-220;17.220 Tractor;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 23-240;20;85W140 GL-5;4X2
CAMINHÃO;Worker;E;Semi-Pesados;17-250;17.250 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306B;9,2;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
CAMINHÃO;Worker;Compactor;Pesados;17-250;17.250 E Compactor;out/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;Allison;;;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
CAMINHÃO;Worker;;Semi-Pesados;24-220;24.220;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306A;8,6;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;6X2
CAMINHÃO;Worker;E;Semi-Pesados;24-250;24.250 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306B;9,2;SAE 50;RS 23-240;20;85W140 GL-5;6X2
CAMINHÃO;Worker;;Semi-Pesados;26-220;26.220;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;CONJUNTO MT 46-165 RD 23-145 / RS 23-145;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Worker;E;Semi-Pesados;26-260;26.260 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;CONJUNTO MT 46-165;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Worker;Constructor;Semi-Pesados;26-260;26.260 E Constructor;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;CONJUNTO MT 46-165;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Worker;E;Semi-Pesados;31-260;31.260 E;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;;;RT 7608LL;9,2;SAE 50;CONJUNTO MT 50-168;19 / 19;85W140 GL-5;6X4
CAMINHÃO;Constellation;;Médios;13-180;13.180;ago/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-230 / RS 19-145;20 / 15;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Semi-Pesados;15-180;15.180;ago/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;15,5;15W40 CI-4;VW;SH;G052824Q2;;;FS 4205A;6;SAE 50;RS 19-230 / RS 19-145;20 / 15;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Semi-Pesados;17-250;17.250;jan/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306B;9,2;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
CAMINHÃO;Constellation;Tractor;Semi-Pesados;17-250;17.250 Tractor;fev/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;;;FS 6306B;9,2;SAE 50;RS 23-240;20;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Pesados;19-320;19.320;jan/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1650;14,5;SAE 80W OU 80W90 GL-4;RS 23-165;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Pesados;17-320;17.320;dez/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1650;14,5;SAE 80W OU 80W90 GL-4;RS 23-165;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Pesados;19-370;19.370;ago/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;NGD;MWM NGD;6;44;15W40 CI-4;VW;SH;G052824Q2;29;2;ZF 16S 1685 TD;14,4;SAE 80W OU 80W90 GL-4;RS 23-185;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Semi-Pesados;24-250;24.250;jan/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 6.0;ISB;6;35;15W40 CI-4;VW;SH;G052824Q2;34,2;2;FS 6306B;9,2;SAE 50;RS 23-240;20;85W140 GL-5;6X2
CAMINHÃO;Constellation;;Semi-Pesados;24-320;24.320;dez/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1650;14,5;SAE 80W OU 80W90 GL-4;RS 23-165;21;85W140 GL-5;6X2
CAMINHÃO;Constellation;;Pesados;25-320;25.320;dez/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1650;14,5;SAE 80W OU 80W90 GL-4;RS 23-185;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Pesados;25-370;25.370;ago/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;NGD;MWM NGD;6;44;15W40 CI-4;VW;SH;G052824Q2;29;2;ZF 16S 1685 TD;14,4;SAE 80W OU 80W90 GL-4;RS 23-185;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Pesados;26-370;26.370;set/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;NGD;MWM NGD;6;44;15W40 CI-4;VW;SH;G052824Q2;29;2;ZF 16S 1685 TD;14,4;SAE 80W OU 80W90 GL-4;MD/MR 23-168;21;85W140 GL-5;6X4
CAMINHÃO;Constellation;E;Semi-Pesados;26-260;26.260 E;mar/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;33;2;RT 8908LL;13;SAE 50;CONJUNTO MT 46-165;19,5 / 16;85W140 GL-5;6X4
CAMINHÃO;Constellation;E;Semi-Pesados;31-260;31.260 E;abr/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;33;2;RT 8908LL;13;SAE 50;CONJUNTO MT 50-168;19 / 19;85W140 GL-5;6X4
CAMINHÃO;Constellation;;Semi-Pesados;31-320;31.320;fev/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1650;14,5;SAE 80W OU 80W90 GL-4;CONJUNTO MT 50-168;19 / 19;85W140 GL-5;6X4
CAMINHÃO;Constellation;;Semi-Pesados;31-370;31.370;ago/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;NGD;MWM NGD;6;44;15W40 CI-4;VW;SH;G052824Q2;29;2;ZF 16S 1685 TD;14,4;SAE 80W OU 80W90 GL-4;CONJUNTO MT 50-168;19 / 19;85W140 GL-5;6X4
ÔNIBUS;Produzidos até 2005;CO-CE;Micro;7-110;7.110 CO-CE;1992;1994;EURO 0;EURO 1;GERENCIAMENTO - MECÂNICO;;;;;;VW;SH;G052824Q2;;;;;;;;;4X2
ÔNIBUS;Produzidos até 2005;;Micro;8-120;8.120;jun/2003;dez/2005;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;CO-CE;Micro;8-140;8.140 CO-CE;abr/94;jan/01;EURO 0;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10T;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;FSO 4305C;5;SAE 80W90 GL-4;DANA 80 / DANA 411;5L / 5L;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OD;Micro;8-150;8.150 OD;jan/01;mai/03;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OD;Micro;8-150;8.150 OD;jun/03;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OD;Micro;9-150;9.150 OD;jan/01;mai/03;EURO 2;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;FSO 4305C;5;SAE 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OD;Micro;9-150;9.150 OD;jun/03;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CH-4;VW;SH;G052824Q2;20;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;CO;Motor Dianteiro;16-210;16.210 CO;jul/07;ago/01;EURO 3;EURO 2;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;20;15W40 CI-4;VW;SH;G052824Q2;26;3,6;FS 5106A;8,5;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OD;Motor Dianteiro;17-210;17.210 OD;jan/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;20;15W40 CI-4;VW;SH;G052824Q2;26;3,6;FS 5106A;8,5;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OT;Motor Traseiro;17-240;17.240 OT;ago/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;20;15W40 CI-4;VW;SH;G052824Q2;21,5;4,3;FS 6406;8,5;SAE 50;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OT;Motor Traseiro;17-240;17.240 OT;ago/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;20;15W40 CI-4;VW;SH;G052824Q2;31,3;4,3;Allison MT-643R;;DEXON III;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OT;Motor Traseiro;17-240;17.240 OT;ago/01;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 6.10 TCA;MWM SÉRIE 10;6;20;15W40 CI-4;VW;SH;G052824Q2;31,3;4,3;ZF ECOMAT 4HP-500;30;DEXON III-C4;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OT;Motor Traseiro;18-310;18.310 OT;out/03;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;33,2;3,7;FSBO 8406A;12;SAE 50;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Produzidos até 2005;OT;Motor Traseiro;18-310;18.310 OT;out/03;dez/05;EURO 2;EURO 3;GERENCIAMENTO - MECÂNICO;CUMMINS 6CTAA;SÉRIE C;6;22;15W40 CI-4;VW;SH;G052824Q2;33,2;3,7;ZF ECOMAT 4HP-590;30;DEXON III-C4;RS 23-160;21;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;5-140;5.140 E OD;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM TCE 4.08;SPRINT;4;8,5;15W40 CI-4;VW;SH;G052824Q2;14,1;2,5;FS 2305 C;3,5;SAE 80W90 GL-4;DANA M267;3,2;85W140 GL-5;4X2
ÔNIBUS;Micro;OD;Micro;8-120;8.120 OD;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - MECÂNICO;MWM 4.10 TCA;MWM SÉRIE 10;4;9;15W40 CI-4;VW;SH;G052824Q2;21,6;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;8-150;8.150 E OD;jan/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;8,6;15W40 CI-4;VW;SH;G052824Q2;21,6;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;8-150;8.150 E OD;out/05;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM TCE 4.08;SPRINT;4;8,5;15W40 CI-4;VW;SH;G052824Q2;14,1;2,5;FSO 4405C;4,6;SAE 80W90 GL-4;DANA M284;4;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;8-150;8.150 E OD;jun/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;9;15W40 CI-4;VW;SH;G052824Q2;21,6;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;9-150;9.150 E OD;jan/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;INTERACT 4.0;ISB;4;8,6;15W40 CI-4;VW;SH;G052824Q2;21,6;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Micro;E OD;Micro;8-150;8.150 E OD;jun/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;9;15W40 CI-4;VW;SH;G052824Q2;21,6;2,5;ZF S5-420;4,1;SAE 80W OU 80W90 GL-4;DANA 480;5;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;15-180;15.180 E OD;nov/04;set/06;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;9;15W40 CI-4;VW;SH;G052824Q2;26;3,6;FS 6406;8,5;SAE 50;RS 23-145;15;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;15-190;15.190 E OD;set/07;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;9;15W40 CI-4;VW;SH;G052824Q2;26;3,6;FSB 6406A;9,2;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;15-190;15.190 E OD;out/06;ago/07;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 4.12 TCAE;MWM SÉRIE 12;4;9;15W40 CI-4;VW;SH;G052824Q2;26;3,6;FSB 5406A;9,2;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;17-210;17.210 E OD;mar/04;set/06;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;26,2;3,6;FSB 5405B;8,5;SAE 50;RS 23-155/RS 23-240;21 / 20;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;17-230;17.230 E OD;mar/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;26,2;3,6;FSB 6206A;9,6;SAE 50;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;17-230;17.230 E OD;nov/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;26,2;3,6;ZF 6S 1010 BO;9,2;SAE 80W OU 80W90 GL-4;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;V-TRONIC - E OD;Motor Dianteiro;17-230;17.230 E OD;jul/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;26,2;3,6;ZF 6AS 1010 BO;9,2;75W80;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Dianteiro;E OD;Motor Dianteiro;17-260;17.260 E OD;nov/09;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;26,2;3,6;ZF 6S 1010 BO;9,2;SAE 80W OU 80W90 GL-4;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Traseiro;E OT;Motor Traseiro;17-260;17.260 E OT;mar/04;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;31;4,3;ZF 6S 1010 BO;9,2;SAE 80W OU 80W90 GL-4;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Traseiro;V-TRONIC - E OD;Motor Traseiro;17-230;17.230 E OD;jul/08;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;MWM 6.12 TCAE;MWM SÉRIE 12;6;20;15W40 CI-4;VW;SH;G052824Q2;31;4,3;ZF 6AS 1010 BO;9,2;75W80;RS 23-155;21;85W140 GL-5;4X2
ÔNIBUS;Motor Traseiro;E OT;Motor Traseiro;19-320;19.320 E OT;jun/06;dez/11;EURO 3;EURO 3;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISC 8.3L;ISC;6;22;15W40 CI-4;VW;SH;G052824Q2;33,2;3,7;FSBO 9406AE;12;SAE 50;RS 23-155;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Semi-Pesados;17-330;17.330;2012;Dias atuais;EURO 5;EURO 5;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISL 8.9L;ISL;6;34;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1585 TD;13;SAE 80W OU 80W90 GL-4;MS 23-165;21;85W140 GL-5;4X2
CAMINHÃO;Constellation;;Semi-Pesados;24-330;24.330;2012;Dias atuais;EURO 5;EURO 5;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISL 8.9L;ISL;6;34;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1585 TD;13;SAE 80W OU 80W90 GL-4;MS 23-165;21;85W140 GL-5;6X2
CAMINHÃO;Constellation;;Semi-Pesados;31-330;24.330;2012;Dias atuais;EURO 5;EURO 5;GERENCIAMENTO - ELTRÔNICO;CUMMINS ISL 8.9L;ISL;6;34;15W40 CI-4;VW;SH;G052824Q2;31,5;2;ZF 16S 1585 TD;13;SAE 80W OU 80W90 GL-4;CONJUNTO MT 50-168;19 / 19;85W140 GL-5;6X4
